trial,category,focal,targetPresent,responsePresent,duration,tp,fa
1,1,0,0,0,Inf,0,0
2,2,1,0,0,Inf,0,0
3,3,0,1,1,Inf,1,0
4,4,1,1,1,Inf,1,0
5,5,1,1,1,Inf,1,0
6,6,0,1,0,Inf,0,0
7,7,1,0,0,Inf,0,0
8,8,1,1,1,Inf,1,0
9,9,1,1,0,Inf,0,0
10,10,0,0,0,Inf,0,0
11,11,1,0,0,Inf,0,0
12,12,0,1,0,Inf,0,0
13,13,1,0,0,Inf,0,0
14,14,1,0,0,Inf,0,0
15,15,0,1,1,Inf,1,0
16,16,1,1,0,Inf,0,0
17,17,1,0,0,Inf,0,0
18,18,0,0,0,Inf,0,0
19,19,0,1,1,Inf,1,0
20,20,0,0,0,Inf,0,0
21,21,0,0,0,Inf,0,0
22,22,1,1,1,Inf,1,0
23,23,0,0,0,Inf,0,0
24,24,0,1,1,Inf,1,0
25,25,1,0,0,Inf,0,0
26,26,0,0,0,Inf,0,0
27,27,1,1,1,Inf,1,0
28,28,1,0,0,Inf,0,0
29,29,1,0,0,Inf,0,0
30,30,0,1,1,Inf,1,0
31,31,0,1,0,Inf,0,0
32,32,0,1,1,Inf,1,0
33,33,1,0,0,Inf,0,0
34,34,0,0,0,Inf,0,0
35,35,0,1,1,Inf,1,0
36,36,0,0,0,Inf,0,0
37,37,0,1,1,Inf,1,0
38,38,1,0,0,Inf,0,0
39,39,1,1,1,Inf,1,0
40,40,1,0,0,Inf,0,0
41,41,0,1,1,Inf,1,0
42,42,0,1,1,Inf,1,0
43,43,0,1,1,Inf,1,0
44,44,1,0,0,Inf,0,0
45,45,0,0,0,Inf,0,0
46,46,1,1,1,Inf,1,0
47,47,1,1,1,Inf,1,0
48,48,0,1,0,Inf,0,0
49,49,0,0,0,Inf,0,0
50,50,0,1,1,Inf,1,0
51,51,1,0,0,Inf,0,0
52,52,0,1,1,Inf,1,0
53,53,0,0,0,Inf,0,0
54,54,1,1,1,Inf,1,0
55,55,1,1,1,Inf,1,0
56,56,0,0,0,Inf,0,0
57,57,1,1,1,Inf,1,0
58,58,1,0,0,Inf,0,0
59,59,1,0,0,Inf,0,0
60,60,0,0,0,Inf,0,0
61,61,1,1,1,Inf,1,0
62,62,0,0,0,Inf,0,0
63,63,0,0,0,Inf,0,0
64,64,1,0,0,Inf,0,0
65,65,0,0,0,Inf,0,0
66,66,0,1,1,Inf,1,0
67,67,1,1,0,Inf,0,0
68,68,1,0,0,Inf,0,0
69,69,1,1,1,Inf,1,0
70,70,0,0,0,Inf,0,0
71,71,0,1,1,Inf,1,0
72,72,0,0,0,Inf,0,0
73,73,1,1,1,Inf,1,0
74,74,1,0,0,Inf,0,0
75,75,1,1,1,Inf,1,0
76,76,1,1,1,Inf,1,0
77,77,1,0,0,Inf,0,0
78,78,1,1,1,Inf,1,0
79,79,0,1,1,Inf,1,0
80,80,0,0,0,Inf,0,0
81,1,0,0,0,2,0,0
82,2,0,1,1,1,1,0
84,1,1,1,1,1,1,0
85,2,0,0,0,8,0,0
86,3,1,0,0,4,0,0
87,4,0,0,0,1,0,0
88,5,1,1,1,2,1,0
89,6,1,0,0,32,0,0
90,7,1,1,1,4,1,0
91,8,1,0,0,4,0,0
92,9,1,1,1,32,1,0
93,10,0,1,1,1,1,0
94,11,0,1,1,2,1,0
95,12,1,0,0,8,0,0
96,13,1,1,1,16,1,0
97,14,1,0,0,4,0,0
98,15,1,0,0,32,0,0
99,16,1,1,1,32,1,0
100,17,0,0,1,2,0,1
101,18,0,1,0,32,0,0
102,19,1,0,0,2,0,0
103,20,1,0,0,8,0,0
104,21,1,0,0,32,0,0
105,22,0,1,1,16,1,0
106,23,0,1,1,2,1,0
107,24,0,0,0,4,0,0
108,25,0,0,0,32,0,0
109,26,1,0,0,32,0,0
110,27,0,1,1,16,1,0
111,28,0,0,0,16,0,0
112,29,1,1,1,2,1,0
113,30,0,0,0,8,0,0
114,31,1,0,0,8,0,0
115,32,1,0,1,1,0,1
116,33,1,0,0,16,0,0
117,34,1,0,0,1,0,0
118,35,0,1,1,2,1,0
119,36,1,0,0,16,0,0
120,37,0,0,0,8,0,0
121,38,0,0,0,4,0,0
122,39,0,1,1,2,1,0
123,40,0,1,0,32,0,0
124,41,0,0,0,32,0,0
125,42,0,1,1,1,1,0
126,43,0,0,0,16,0,0
127,44,0,0,0,32,0,0
128,45,0,1,0,32,0,0
129,46,1,1,0,32,0,0
130,47,1,1,1,32,1,0
131,48,0,1,1,2,1,0
132,49,0,1,0,32,0,0
133,50,0,0,0,4,0,0
134,51,1,1,1,1,1,0
135,52,1,1,1,1,1,0
136,53,0,0,0,2,0,0
137,54,0,0,0,4,0,0
138,55,1,0,0,2,0,0
139,56,0,1,1,1,1,0
140,57,0,1,1,16,1,0
141,58,1,1,1,4,1,0
142,59,1,1,1,32,1,0
143,60,0,0,0,2,0,0
144,61,1,0,1,1,0,1
145,62,1,1,1,2,1,0
146,63,1,0,0,8,0,0
147,64,0,0,0,4,0,0
148,65,0,1,1,16,1,0
149,66,1,1,1,2,1,0
150,67,0,1,1,2,1,0
151,68,0,1,1,2,1,0
152,69,1,1,1,2,1,0
153,70,0,0,0,16,0,0
154,71,0,1,1,1,1,0
155,72,0,0,0,32,0,0
156,73,1,0,0,32,0,0
157,74,1,1,1,1,1,0
158,75,0,1,1,8,1,0
159,76,1,1,1,1,1,0
160,77,1,1,1,16,1,0
161,78,1,0,0,1,0,0
162,79,1,1,1,2,1,0
163,80,0,0,0,32,0,0
164,1,1,0,0,2,0,0
165,2,0,1,1,8,1,0
166,3,1,1,1,8,1,0
167,4,1,1,1,1,1,0
168,5,1,1,0,1,0,0
169,6,0,0,0,2,0,0
170,7,1,1,1,16,1,0
171,8,1,1,1,32,1,0
172,9,1,1,1,16,1,0
173,10,1,0,0,4,0,0
174,11,0,1,0,8,0,0
175,12,0,0,0,32,0,0
176,13,1,0,1,2,0,1
177,14,1,1,1,32,1,0
178,15,0,0,0,32,0,0
179,16,0,0,0,8,0,0
180,17,0,0,0,32,0,0
181,18,1,0,0,2,0,0
182,19,0,1,1,16,1,0
183,20,1,0,0,2,0,0
184,21,0,0,1,2,0,1
185,22,1,0,0,2,0,0
186,23,1,1,1,32,1,0
187,24,1,0,0,4,0,0
188,25,0,0,0,8,0,0
189,26,1,1,1,1,1,0
190,27,0,0,0,4,0,0
191,28,1,1,1,4,1,0
192,29,0,1,0,4,0,0
193,30,1,0,0,32,0,0
194,31,0,1,0,8,0,0
195,32,0,0,0,16,0,0
196,33,1,1,1,2,1,0
197,34,1,1,1,4,1,0
198,35,1,0,0,4,0,0
199,36,1,0,0,4,0,0
200,37,1,1,1,4,1,0
201,38,0,0,0,4,0,0
202,39,1,1,1,16,1,0
203,40,0,1,1,32,1,0
204,41,0,1,1,16,1,0
205,42,1,1,1,16,1,0
206,43,0,1,1,1,1,0
207,44,0,1,1,2,1,0
208,45,1,1,1,16,1,0
209,46,0,1,1,32,1,0
210,47,0,1,1,4,1,0
211,48,0,0,0,16,0,0
212,49,1,0,0,8,0,0
213,50,0,0,0,2,0,0
214,51,0,0,0,32,0,0
215,52,1,0,0,16,0,0
216,53,1,0,1,1,0,1
217,54,1,0,1,2,0,1
218,55,0,0,0,32,0,0
219,56,1,0,0,32,0,0
220,57,1,1,0,1,0,0
221,58,0,1,1,1,1,0
222,59,1,0,0,16,0,0
223,60,0,0,0,8,0,0
224,61,1,0,0,4,0,0
225,62,1,1,1,32,1,0
226,63,0,1,1,1,1,0
227,64,0,1,1,32,1,0
228,65,1,0,1,1,0,1
229,66,0,0,0,32,0,0
230,67,1,0,0,16,0,0
231,68,0,0,0,1,0,0
232,69,0,1,1,2,1,0
233,70,0,0,0,8,0,0
234,71,0,0,1,2,0,1
235,72,0,1,0,16,0,0
236,73,0,1,1,2,1,0
237,74,0,1,1,2,1,0
238,75,0,1,0,16,0,0
239,76,0,1,1,16,1,0
240,77,1,1,1,2,1,0
241,78,0,0,1,1,0,1
242,79,1,0,0,8,0,0
243,80,1,1,1,16,1,0
244,1,0,0,0,2,0,0
245,2,1,1,0,16,0,0
246,3,0,0,0,32,0,0
247,4,1,1,1,1,1,0
248,5,1,1,1,32,1,0
249,6,1,0,1,1,0,1
250,7,1,0,0,16,0,0
251,8,0,1,0,8,0,0
252,9,1,0,1,2,0,1
253,10,0,0,1,1,0,1
254,11,0,0,0,16,0,0
255,12,1,0,0,2,0,0
256,13,1,1,1,2,1,0
257,14,0,0,1,1,0,1
258,15,0,0,1,4,0,1
259,16,1,0,1,2,0,1
260,17,0,1,1,2,1,0
261,18,1,1,1,16,1,0
262,19,1,0,0,32,0,0
263,20,1,0,1,1,0,1
264,21,0,1,1,4,1,0
265,22,0,1,0,4,0,0
266,23,1,0,0,32,0,0
267,24,0,1,1,1,1,0
268,25,0,0,0,1,0,0
269,26,1,0,1,1,0,1
270,27,1,1,0,16,0,0
271,28,1,1,1,8,1,0
272,29,0,0,1,8,0,1
273,30,0,1,1,4,1,0
274,31,0,0,1,32,0,1
275,32,1,1,1,1,1,0
276,33,1,1,1,8,1,0
277,34,1,1,1,8,1,0
278,35,0,0,0,8,0,0
279,36,0,0,0,32,0,0
280,37,0,1,1,1,1,0
281,38,0,0,0,16,0,0
282,39,1,0,1,2,0,1
283,40,0,1,0,4,0,0
284,41,0,1,1,32,1,0
285,42,1,0,0,8,0,0
286,43,1,1,1,8,1,0
287,44,1,1,1,2,1,0
288,45,1,1,1,4,1,0
289,46,0,1,1,16,1,0
290,47,1,1,1,1,1,0
291,48,1,0,1,2,0,1
292,49,1,0,1,2,0,1
293,50,1,0,1,1,0,1
294,51,0,1,1,8,1,0
295,52,1,0,0,16,0,0
296,53,0,0,0,1,0,0
297,54,1,1,1,4,1,0
298,55,0,1,0,2,0,0
299,56,0,0,1,1,0,1
300,57,0,1,0,16,0,0
301,58,0,1,1,2,1,0
302,59,1,1,1,2,1,0
303,60,1,1,1,32,1,0
304,61,1,1,1,4,1,0
305,62,1,1,1,1,1,0
306,63,1,0,1,1,0,1
307,64,0,1,1,1,1,0
308,65,0,0,1,1,0,1
309,66,0,1,1,1,1,0
310,67,0,0,0,32,0,0
311,68,1,1,1,1,1,0
312,69,0,1,0,32,0,0
313,70,1,0,0,4,0,0
314,71,1,0,0,1,0,0
315,72,0,0,0,16,0,0
316,73,0,1,0,32,0,0
317,74,0,0,0,32,0,0
318,75,0,1,1,8,1,0
319,76,0,0,0,16,0,0
320,77,1,0,1,1,0,1
321,78,1,0,1,1,0,1
322,79,0,1,1,2,1,0
323,80,0,0,0,8,0,0
324,1,0,0,0,2,0,0
325,2,1,0,0,2,0,0
326,3,1,0,0,1,0,0
327,4,0,1,0,2,0,0
328,5,1,0,0,4,0,0
329,6,1,0,0,1,0,0
330,7,0,1,1,2,1,0
331,8,1,0,0,32,0,0
332,9,1,1,1,4,1,0
333,10,0,1,0,1,0,0
334,11,1,0,0,8,0,0
335,12,0,1,1,32,1,0
336,13,0,1,0,1,0,0
337,14,1,1,1,16,1,0
338,15,0,0,0,1,0,0
339,16,0,1,1,16,1,0
340,17,0,0,1,1,0,1
341,18,0,1,1,8,1,0
342,19,1,0,1,2,0,1
343,20,0,1,0,2,0,0
344,21,0,0,1,8,0,1
345,22,0,1,1,8,1,0
346,23,0,0,0,1,0,0
347,24,1,1,1,16,1,0
348,25,0,0,0,4,0,0
349,26,1,0,1,2,0,1
350,27,0,1,1,2,1,0
351,28,1,0,1,4,0,1
352,29,1,1,1,2,1,0
353,30,0,0,0,2,0,0
354,31,0,1,0,16,0,0
355,32,1,0,0,8,0,0
356,33,0,1,1,2,1,0
357,34,1,1,1,2,1,0
358,35,0,0,0,32,0,0
359,36,1,1,1,4,1,0
360,37,0,1,1,32,1,0
361,38,1,1,1,2,1,0
362,39,1,1,1,4,1,0
363,40,0,0,1,4,0,1
364,41,1,0,0,8,0,0
365,42,1,1,0,32,0,0
366,43,0,1,1,32,1,0
367,44,0,0,0,16,0,0
368,45,0,1,1,2,1,0
369,46,1,0,0,1,0,0
370,47,1,0,0,32,0,0
371,48,1,0,0,8,0,0
372,49,0,0,0,4,0,0
373,50,0,1,1,2,1,0
374,51,1,1,1,32,1,0
375,52,1,1,1,32,1,0
376,53,0,1,1,32,1,0
377,54,0,0,0,2,0,0
378,55,1,1,1,16,1,0
379,56,0,0,1,1,0,1
380,57,0,1,1,4,1,0
381,58,1,0,0,4,0,0
382,59,0,1,1,2,1,0
383,60,0,0,0,4,0,0
384,61,1,1,1,2,1,0
385,62,1,1,1,1,1,0
386,63,0,1,0,16,0,0
387,64,0,0,0,8,0,0
388,65,0,0,0,8,0,0
389,66,1,0,0,16,0,0
390,67,1,0,1,8,0,1
391,68,1,0,0,4,0,0
392,69,1,0,0,16,0,0
393,70,0,0,0,4,0,0
394,71,0,0,0,4,0,0
395,72,1,1,1,32,1,0
396,73,1,1,1,8,1,0
397,74,1,1,1,8,1,0
398,75,0,0,0,16,0,0
399,76,1,0,0,32,0,0
400,77,0,0,1,1,0,1
401,78,1,1,1,32,1,0
402,79,1,1,1,4,1,0
403,80,1,1,1,16,1,0
404,1,1,0,0,32,0,0
405,2,0,0,0,2,0,0
406,3,0,1,1,16,1,0
407,4,1,0,0,4,0,0
