trained_on,train_n,img_set,category,acc,auc,precision,recall,total_acc,total_auc,total_precision,total_recall,att_name,att_beta,att_layer
iso,2,train,Ferris wheel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,analog clock,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,artichoke,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,bakery,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,banana,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,bathtub,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,cabbage butterfly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,computer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,football helmet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,garden spider,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,greenhouse,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,home theatre,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,long-horned beetle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,mortar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,padlock,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,paintbrush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,seashore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,stone wall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,train,toaster,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none,,
iso,2,val,Ferris wheel,0.61,0.7062999999999999,0.8235294117647058,0.28,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,analog clock,0.67,0.7031,0.6491228070175439,0.74,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,artichoke,0.51,0.5251,0.5087719298245614,0.58,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,bakery,0.635,0.7311000000000001,0.7014925373134329,0.47,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,banana,0.75,0.8260000000000001,0.7358490566037735,0.78,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,bathtub,0.64,0.7069,0.6707317073170732,0.55,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,cabbage butterfly,0.765,0.856,0.7623762376237624,0.77,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,coffee,0.695,0.7553000000000001,0.8679245283018868,0.46,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,computer,0.745,0.7454000000000001,0.8656716417910447,0.58,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,football helmet,0.53,0.6361000000000001,0.8,0.08,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,garden spider,0.685,0.796,0.6907216494845361,0.67,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,greenhouse,0.69,0.7661,0.7209302325581395,0.62,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,home theatre,0.48,0.4347,0.4830508474576271,0.57,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,long-horned beetle,0.715,0.7469,0.6592592592592592,0.89,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,mortar,0.61,0.7758,0.569620253164557,0.9,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,padlock,0.475,0.4676,0.4774774774774775,0.53,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,paintbrush,0.525,0.5529,0.5324675324675324,0.41,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,seashore,0.79,0.8502000000000001,0.7589285714285714,0.85,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,stone wall,0.73,0.8233,0.6575342465753424,0.96,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,val,toaster,0.435,0.4162,0.4235294117647059,0.36,0.63425,0.68089475,0.63425,0.63425,none,,
iso,2,xval,Ferris wheel,0.52,0.6311,1.0,0.04,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,analog clock,0.535,0.6011,0.5636363636363636,0.31,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,artichoke,0.44,0.4016,0.425,0.34,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,bakery,0.535,0.5604,0.5777777777777777,0.26,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,banana,0.565,0.6654,0.6666666666666666,0.26,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,bathtub,0.51,0.6080000000000001,0.5625,0.09,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,cabbage butterfly,0.51,0.6806000000000001,0.5714285714285714,0.08,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,coffee,0.505,0.6703,1.0,0.01,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,computer,0.5,0.6453,0.0,0.0,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,football helmet,0.5,0.6237999999999999,0.0,0.0,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,garden spider,0.525,0.6235999999999999,0.5862068965517241,0.17,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,greenhouse,0.55,0.6763,0.6666666666666666,0.2,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,home theatre,0.49,0.4574,0.4921875,0.63,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,long-horned beetle,0.615,0.6226,0.6419753086419753,0.52,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,mortar,0.58,0.6371,0.5606060606060606,0.74,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,padlock,0.465,0.45680000000000004,0.4461538461538462,0.29,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,paintbrush,0.485,0.5461,0.44,0.11,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,seashore,0.52,0.6912,0.7,0.07,0.521,0.5736957500000001,0.521,0.521,none,,
iso,2,xval,stone wall,0.615,0.6629,0.6236559139784946,0.58,0.521,0.5736957500000001,0.521,0.521,none,,
