,Gauss_1.1,Gauss_2.0,Gauss_4.0,Gauss_11.0,Dist.,Flat_1.1,Flat_2.0,Flat_4.0,Flat_11.0,Shift_1.1,Shift_2.0,Shift_4.0,Shift_11.0,al_1.1,al_2.0,al_4.0,al_11.0,l1_1.1,l1_2.0,l1_4.0,l1_11.0,l2_1.1,l2_2.0,l2_4.0,l2_11.0,l3_1.1,l3_2.0,l3_4.0,l3_11.0,l4_1.1,l4_2.0,l4_4.0,l4_11.0,Reconstruct_fake,Reconstruct_undo
Ferris wheel,0.67769,0.72802,0.7722,0.78486,0.6684,0.68067,0.71524,0.76213,0.80618,0.6272,0.63587,0.64538,0.6476,0.64627,0.64751,0.6384,0.6148,0.64573,0.64573,0.64324,0.63302,0.64516,0.64449,0.64364,0.64249,0.64596,0.6488,0.64978,0.6472,0.64644,0.64582,0.64182,0.63436,0.7816,0.6828
analog clock,0.6949,0.73567,0.76721,0.77454,0.7176,0.69693,0.72733,0.76449,0.80204,0.63076,0.61613,0.62471,0.63538,0.65253,0.64716,0.6328,0.60333,0.65271,0.65031,0.64409,0.63484,0.65236,0.64951,0.64782,0.64364,0.65293,0.65342,0.65062,0.64369,0.65298,0.65436,0.65498,0.64973,0.7724,0.7392
artichoke,0.70369,0.75601,0.81343,0.84078,0.6372,0.6968,0.74244,0.80347,0.86609,0.69182,0.69156,0.71236,0.70289,0.68138,0.68973,0.69116,0.68071,0.68093,0.68147,0.68076,0.67476,0.68004,0.67796,0.6764,0.67,0.68053,0.68253,0.6852,0.68213,0.68111,0.68587,0.69076,0.69187,0.7556,0.6608
bakery,0.69101,0.73634,0.79841,0.83284,0.708,0.70729,0.73809,0.77502,0.81813,0.68076,0.70693,0.70924,0.72169,0.67853,0.68431,0.68333,0.66978,0.67711,0.6804,0.68169,0.67862,0.6772,0.67893,0.67844,0.67524,0.67658,0.67387,0.66951,0.66013,0.67778,0.68347,0.68653,0.68982,0.7788,0.74
banana,0.66881,0.74781,0.82183,0.85001,0.6332,0.66982,0.6996,0.74253,0.78493,0.63684,0.64907,0.65924,0.68391,0.64027,0.65591,0.6676,0.66213,0.6384,0.64178,0.64369,0.64022,0.638,0.63951,0.64036,0.64196,0.63787,0.63769,0.63791,0.63467,0.63916,0.64822,0.65516,0.65889,0.7132,0.7244
bathtub,0.71648,0.76911,0.8056,0.81959,0.7236,0.71667,0.73889,0.77169,0.80876,0.69707,0.69284,0.71009,0.72307,0.71027,0.71382,0.70809,0.68511,0.70938,0.71476,0.71333,0.70484,0.70911,0.7096,0.70862,0.70676,0.70911,0.70982,0.70987,0.70338,0.70951,0.71102,0.71173,0.70898,0.7988,0.7292
cabbage butterfly,0.7196,0.75276,0.77017,0.76703,0.74,0.69502,0.7356,0.78791,0.83564,0.7144,0.72662,0.72782,0.72222,0.72724,0.71204,0.67902,0.6332,0.72876,0.72773,0.724,0.71729,0.7284,0.72547,0.72089,0.71,0.72778,0.72062,0.71093,0.69542,0.7288,0.72724,0.72142,0.70689,0.83,0.6728
coffee,0.75289,0.80243,0.85208,0.87496,0.7696,0.77782,0.80938,0.84711,0.87991,0.74911,0.76098,0.77738,0.78062,0.75289,0.75369,0.74311,0.72136,0.75218,0.75089,0.74862,0.74116,0.75298,0.75311,0.75311,0.74947,0.75213,0.75196,0.7504,0.74862,0.75289,0.75351,0.75156,0.74676,0.86,0.794
computer,0.69757,0.75909,0.81508,0.8354,0.7196,0.70862,0.74884,0.80436,0.85151,0.67671,0.72476,0.74253,0.75093,0.70267,0.716,0.71307,0.68729,0.7012,0.70547,0.70849,0.70027,0.70116,0.7024,0.7012,0.69693,0.70089,0.69947,0.69564,0.68742,0.70289,0.71027,0.71671,0.71498,0.822,0.7796
football helmet,0.66448,0.70941,0.74611,0.76437,0.6672,0.68156,0.71507,0.75591,0.80667,0.64458,0.65302,0.66142,0.6504,0.65653,0.66004,0.65467,0.6316,0.65529,0.65542,0.65351,0.64902,0.65591,0.65849,0.65907,0.65676,0.65569,0.65587,0.65493,0.64747,0.65569,0.65836,0.65858,0.65862,0.7632,0.7016
garden spider,0.74158,0.80649,0.85316,0.86126,0.7116,0.73036,0.78422,0.85218,0.9072,0.69111,0.68062,0.69218,0.6888,0.71791,0.71627,0.69996,0.66542,0.71653,0.71391,0.70498,0.69467,0.71698,0.71911,0.71676,0.71107,0.71627,0.7144,0.70893,0.69778,0.71733,0.72213,0.72267,0.71289,0.856,0.7108
greenhouse,0.7612,0.79334,0.82174,0.83112,0.836,0.78196,0.81267,0.8492,0.88253,0.76969,0.76738,0.77329,0.78951,0.76622,0.76711,0.75462,0.72489,0.76724,0.76751,0.76631,0.76036,0.76689,0.76702,0.76649,0.76564,0.76564,0.76093,0.75587,0.75196,0.76773,0.77111,0.77213,0.76942,0.8856,0.8112
home theatre,0.7702,0.81407,0.85088,0.86714,0.7764,0.79564,0.83884,0.89036,0.93338,0.77347,0.76782,0.76742,0.76791,0.77911,0.77853,0.76453,0.72876,0.77769,0.77222,0.76538,0.74729,0.77791,0.77813,0.77604,0.77204,0.77804,0.77604,0.77338,0.76631,0.7796,0.78547,0.78907,0.7872,0.8552,0.7804
long-horned beetle,0.63088,0.68181,0.73752,0.77317,0.6208,0.62964,0.66613,0.72431,0.77053,0.57187,0.56662,0.592,0.61173,0.58689,0.58902,0.58547,0.57818,0.58582,0.58498,0.58124,0.57671,0.58698,0.58716,0.58787,0.58822,0.58644,0.58178,0.57849,0.57796,0.58787,0.59529,0.59822,0.59698,0.7192,0.638
mortar,0.64681,0.68963,0.74352,0.75547,0.6652,0.64,0.66764,0.70373,0.74853,0.64018,0.63711,0.66471,0.67711,0.63573,0.62631,0.60538,0.56933,0.63582,0.63138,0.62582,0.61751,0.63631,0.6352,0.63147,0.62742,0.63649,0.63382,0.62964,0.62511,0.63662,0.63462,0.62649,0.60893,0.726,0.6828
padlock,0.59733,0.62453,0.65257,0.65496,0.6336,0.61204,0.64311,0.68893,0.73529,0.56831,0.57636,0.5828,0.57951,0.57996,0.5844,0.58418,0.57747,0.57827,0.57613,0.57356,0.57413,0.57991,0.58316,0.58604,0.58613,0.57929,0.58244,0.58329,0.58351,0.57964,0.58324,0.58387,0.58391,0.6924,0.6572
paintbrush,0.6473,0.69478,0.7486,0.78852,0.588,0.65982,0.68649,0.72422,0.75996,0.61164,0.60013,0.61187,0.6228,0.62422,0.63276,0.63822,0.62884,0.62329,0.62493,0.6232,0.6168,0.62284,0.62382,0.62564,0.624,0.6236,0.62667,0.62987,0.62809,0.62378,0.62702,0.63053,0.63298,0.656,0.6304
seashore,0.78481,0.83387,0.87972,0.9,0.7148,0.74729,0.79653,0.86271,0.92107,0.73951,0.74387,0.75942,0.7788,0.758,0.75716,0.74076,0.71191,0.75818,0.7596,0.75756,0.752,0.758,0.7564,0.75302,0.74542,0.75831,0.75787,0.75667,0.7504,0.758,0.75662,0.75356,0.74538,0.874,0.6956
stone wall,0.74,0.8059,0.87839,0.91612,0.722,0.78307,0.82431,0.87302,0.91991,0.7124,0.70987,0.72862,0.74293,0.726,0.73022,0.72098,0.68787,0.72547,0.72907,0.72929,0.7248,0.72453,0.72422,0.72271,0.71484,0.72391,0.72231,0.71858,0.70813,0.72484,0.72844,0.7292,0.72471,0.8416,0.7704
toaster,0.7318,0.7664,0.79682,0.80468,0.7392,0.7088,0.75338,0.80804,0.85844,0.69333,0.6896,0.70267,0.70498,0.7112,0.70498,0.68716,0.65173,0.71058,0.70791,0.702,0.68813,0.71093,0.71244,0.712,0.70942,0.71053,0.70822,0.70271,0.69431,0.71111,0.71151,0.70582,0.69311,0.8464,0.7564
